Sex,Ageyrs,L,M,S,P3,P10,P50,P90,P97
1,6.50,0.59,6.3,0.10,5.2,5.5,6.3,7.1,7.4
1,6.75,0.59,6.2,0.11,5.0,5.3,6.2,7.1,7.5
1,7.00,0.59,6.2,0.12,4.9,5.2,6.2,7.1,7.6
1,7.25,0.59,6.1,0.13,4.7,5.1,6.1,7.2,7.6
1,7.50,0.59,6.0,0.14,4.6,5.0,6.0,7.2,7.7
1,7.75,0.59,6.0,0.14,4.4,4.9,6.0,7.2,7.7
1,8.00,0.59,5.9,0.15,4.3,4.7,5.9,7.2,7.7
1,8.25,0.59,5.8,0.16,4.2,4.6,5.8,7.1,7.7
1,8.50,0.59,5.7,0.17,4.0,4.5,5.7,7.1,7.7
1,8.75,0.59,5.7,0.18,3.9,4.4,5.7,7.1,7.7
1,9.00,0.59,5.6,0.19,3.8,4.3,5.6,7.1,7.7
1,9.25,0.59,5.5,0.20,3.6,4.2,5.5,7.0,7.7
1,9.50,0.59,5.5,0.20,3.5,4.1,5.5,7.0,7.7
1,9.75,0.59,5.4,0.21,3.5,4.0,5.4,7.1,7.8
1,10.00,0.59,5.4,0.22,3.4,3.9,5.4,7.1,7.8
1,10.25,0.59,5.4,0.23,3.3,3.9,5.4,7.1,7.9
1,10.50,0.59,5.4,0.24,3.3,3.8,5.4,7.2,8.0
1,10.75,0.59,5.5,0.24,3.2,3.8,5.5,7.4,8.2
1,11.00,0.59,5.6,0.25,3.2,3.9,5.6,7.6,8.5
1,11.25,0.59,5.8,0.26,3.2,3.9,5.8,7.9,8.9
1,11.50,0.59,6.0,0.27,3.2,4.0,6.0,8.3,9.4
1,11.75,0.59,6.2,0.28,3.3,4.1,6.2,8.8,10.0
1,12.00,0.59,6.5,0.30,3.3,4.2,6.5,9.3,10.5
1,12.25,0.59,6.8,0.31,3.3,4.2,6.8,9.8,11.1
1,12.50,0.59,7.0,0.32,3.3,4.3,7.0,10.2,11.7
1,12.75,0.59,7.2,0.33,3.3,4.3,7.2,10.6,12.2
1,13.00,0.59,7.2,0.35,3.2,4.2,7.2,10.9,12.5
1,13.25,0.59,7.2,0.36,3.0,4.1,7.2,11.0,12.8
1,13.50,0.59,7.1,0.38,2.8,3.9,7.1,11.0,12.8
1,13.75,0.59,6.9,0.39,2.6,3.7,6.9,10.9,12.7
1,14.00,0.59,6.6,0.41,2.4,3.4,6.6,10.6,12.5
1,14.25,0.59,6.2,0.43,2.1,3.1,6.2,10.2,12.1
1,14.50,0.59,5.8,0.45,1.8,2.8,5.8,9.8,11.6
1,14.75,0.59,5.4,0.47,1.5,2.5,5.4,9.2,11.0
1,15.00,0.59,4.9,0.49,1.3,2.1,4.9,8.6,10.4
1,15.25,0.59,4.5,0.52,1.1,1.8,4.5,8.0,9.7
1,15.50,0.59,4.0,0.54,0.8,1.6,4.0,7.3,8.9
1,15.75,0.59,3.6,0.57,0.7,1.3,3.6,6.6,8.1
1,16.00,0.59,3.1,0.59,0.5,1.1,3.1,5.9,7.3
1,16.25,0.59,2.7,0.61,0.4,0.9,2.7,5.2,6.4
1,16.50,0.59,2.2,0.64,0.3,0.7,2.2,4.4,5.5
1,16.75,0.59,1.8,0.66,0.2,0.5,1.8,3.6,4.5
1,17.00,0.59,1.3,0.69,0.1,0.4,1.3,2.7,3.4
1,17.25,0.59,0.9,0.71,0.1,0.2,0.9,1.8,2.3
1,17.50,0.59,0.4,0.74,0.0,0.1,0.4,0.9,1.1
1,17.75,0.59,0.0,0.76,0.0,0.0,0.0,0.1,0.1
2,6.50,0.67,6.2,0.17,4.4,4.9,6.2,7.7,8.3
2,6.75,0.67,6.2,0.17,4.3,4.8,6.2,7.6,8.2
2,7.00,0.67,6.1,0.17,4.3,4.8,6.1,7.5,8.1
2,7.25,0.67,6.0,0.17,4.2,4.7,6.0,7.4,8.0
2,7.50,0.67,5.9,0.17,4.1,4.6,5.9,7.3,7.9
2,7.75,0.67,5.8,0.17,4.1,4.6,5.8,7.2,7.8
2,8.00,0.67,5.8,0.17,4.0,4.5,5.8,7.1,7.7
2,8.25,0.67,5.7,0.17,4.0,4.5,5.7,7.1,7.7
2,8.50,0.67,5.7,0.18,3.9,4.4,5.7,7.1,7.7
2,8.75,0.67,5.7,0.18,3.9,4.4,5.7,7.1,7.7
2,9.00,0.67,5.8,0.19,3.9,4.4,5.8,7.2,7.9
2,9.25,0.67,5.9,0.19,3.9,4.4,5.9,7.4,8.1
2,9.50,0.67,6.0,0.20,3.9,4.5,6.0,7.7,8.4
2,9.75,0.67,6.2,0.21,3.9,4.5,6.2,8.0,8.7
2,10.00,0.67,6.3,0.22,3.9,4.6,6.3,8.3,9.1
2,10.25,0.67,6.5,0.23,3.9,4.6,6.5,8.6,9.5
2,10.50,0.67,6.6,0.24,3.9,4.7,6.6,8.8,9.8
2,10.75,0.67,6.7,0.25,3.8,4.6,6.7,9.0,10.1
2,11.00,0.67,6.7,0.26,3.7,4.5,6.7,9.2,10.3
2,11.25,0.67,6.7,0.28,3.5,4.4,6.7,9.3,10.4
2,11.50,0.67,6.5,0.29,3.3,4.1,6.5,9.2,10.4
2,11.75,0.67,6.3,0.32,2.9,3.8,6.3,9.1,10.3
2,12.00,0.67,5.9,0.34,2.6,3.5,5.9,8.8,10.1
2,12.25,0.67,5.5,0.37,2.2,3.1,5.5,8.4,9.7
2,12.50,0.67,5.1,0.39,1.8,2.6,5.1,7.9,9.2
2,12.75,0.67,4.5,0.42,1.4,2.2,4.5,7.3,8.6
2,13.00,0.67,4.0,0.46,1.1,1.8,4.0,6.7,7.9
2,13.25,0.67,3.5,0.49,0.8,1.5,3.5,6.0,7.1
2,13.50,0.67,2.9,0.52,0.6,1.2,2.9,5.2,6.2
2,13.75,0.67,2.4,0.55,0.4,0.9,2.4,4.4,5.3
2,14.00,0.67,1.9,0.58,0.3,0.7,1.9,3.6,4.4
2,14.25,0.67,1.6,0.61,0.2,0.5,1.6,3.0,3.6
2,14.50,0.67,1.2,0.64,0.1,0.3,1.2,2.4,3.0
2,14.75,0.67,1.0,0.67,0.1,0.2,1.0,2.0,2.5
2,15.00,0.67,0.8,0.70,0.0,0.2,0.8,1.7,2.1
2,15.25,0.67,0.7,0.73,0.0,0.1,0.7,1.4,1.8
2,15.50,0.67,0.6,0.76,0.0,0.1,0.6,1.3,1.6
2,15.75,0.67,0.6,0.80,,0.1,0.6,1.2,1.6
2,16.00,0.67,0.6,0.83,,0.1,0.6,1.3,1.6
2,16.25,0.67,0.6,0.86,,0.1,0.6,1.3,1.6
