Sex,Ageyrs,L,M,S,P3,P10,P50,P90,P97
1,6.50,0.25,6.3,0.09,5.3,5.5,6.3,7.0,7.4
1,6.75,0.25,6.4,0.10,5.3,5.6,6.4,7.3,7.7
1,7.00,0.25,6.5,0.11,5.2,5.6,6.5,7.5,7.9
1,7.25,0.25,6.5,0.12,5.1,5.5,6.5,7.6,8.1
1,7.50,0.25,6.4,0.13,5.0,5.4,6.4,7.7,8.2
1,7.75,0.25,6.3,0.14,4.8,5.2,6.3,7.6,8.2
1,8.00,0.25,6.1,0.16,4.5,5.0,6.1,7.5,8.1
1,8.25,0.25,6.0,0.17,4.3,4.7,6.0,7.4,8.1
1,8.50,0.25,5.9,0.18,4.1,4.6,5.9,7.4,8.1
1,8.75,0.25,5.8,0.19,4.0,4.5,5.8,7.5,8.2
1,9.00,0.25,5.8,0.20,3.9,4.4,5.8,7.5,8.3
1,9.25,0.25,5.8,0.21,3.8,4.4,5.8,7.6,8.5
1,9.50,0.25,5.8,0.22,3.7,4.3,5.8,7.7,8.7
1,9.75,0.25,5.8,0.23,3.6,4.2,5.8,7.8,8.8
1,10.00,0.25,5.8,0.24,3.6,4.1,5.8,7.9,9.0
1,10.25,0.25,5.9,0.26,3.5,4.1,5.9,8.1,9.2
1,10.50,0.25,5.9,0.27,3.5,4.1,5.9,8.3,9.5
1,10.75,0.25,6.0,0.28,3.4,4.1,6.0,8.6,9.8
1,11.00,0.25,6.2,0.29,3.5,4.1,6.2,9.0,10.3
1,11.25,0.25,6.5,0.30,3.5,4.3,6.5,9.5,11.0
1,11.50,0.25,6.8,0.31,3.6,4.4,6.8,10.1,11.7
1,11.75,0.25,7.1,0.32,3.7,4.5,7.1,10.6,12.4
1,12.00,0.25,7.2,0.33,3.7,4.5,7.2,11.0,12.9
1,12.25,0.25,7.3,0.34,3.6,4.5,7.3,11.3,13.3
1,12.50,0.25,7.3,0.35,3.5,4.4,7.3,11.4,13.5
1,12.75,0.25,7.2,0.37,3.4,4.3,7.2,11.3,13.5
1,13.00,0.25,7.0,0.38,3.2,4.1,7.0,11.2,13.3
1,13.25,0.25,6.7,0.39,3.0,3.8,6.7,10.9,13.1
1,13.50,0.25,6.4,0.40,2.8,3.6,6.4,10.5,12.6
1,13.75,0.25,6.0,0.41,2.5,3.3,6.0,9.9,12.0
1,14.00,0.25,5.5,0.42,2.3,3.0,5.5,9.2,11.2
1,14.25,0.25,4.9,0.43,2.0,2.6,4.9,8.3,10.2
1,14.50,0.25,4.2,0.44,1.6,2.2,4.2,7.2,8.8
1,14.75,0.25,3.4,0.45,1.3,1.7,3.4,5.9,7.3
1,15.00,0.25,2.5,0.46,0.9,1.3,2.5,4.5,5.6
1,15.25,0.25,1.8,0.48,0.6,0.9,1.8,3.2,4.0
1,15.50,0.25,1.2,0.49,0.4,0.6,1.2,2.2,2.7
1,15.75,0.25,0.8,0.50,0.3,0.4,0.8,1.5,1.9
1,16.00,0.25,0.7,0.51,0.2,0.3,0.7,1.3,1.6
1,16.25,0.25,0.7,0.52,0.2,0.3,0.7,1.2,1.6
2,6.25,0.64,6.1,0.10,5.0,5.3,6.1,6.9,7.3
2,6.50,0.64,6.1,0.11,4.9,5.2,6.1,7.1,7.5
2,6.75,0.64,6.2,0.12,4.8,5.2,6.2,7.2,7.6
2,7.00,0.64,6.2,0.13,4.7,5.1,6.2,7.3,7.8
2,7.25,0.64,6.2,0.15,4.6,5.0,6.2,7.5,8.0
2,7.50,0.64,6.2,0.16,4.5,5.0,6.2,7.6,8.2
2,7.75,0.64,6.3,0.17,4.4,4.9,6.3,7.8,8.4
2,8.00,0.64,6.4,0.18,4.3,4.9,6.4,8.0,8.7
2,8.25,0.64,6.4,0.19,4.3,4.9,6.4,8.2,8.9
2,8.50,0.64,6.5,0.20,4.2,4.8,6.5,8.4,9.2
2,8.75,0.64,6.6,0.22,4.1,4.8,6.6,8.6,9.5
2,9.00,0.64,6.7,0.23,4.1,4.8,6.7,8.9,9.8
2,9.25,0.64,6.9,0.24,4.0,4.8,6.9,9.2,10.2
2,9.50,0.64,7.0,0.25,4.0,4.8,7.0,9.4,10.5
2,9.75,0.64,7.0,0.26,3.9,4.7,7.0,9.7,10.8
2,10.00,0.64,7.1,0.27,3.8,4.7,7.1,9.8,11.0
2,10.25,0.64,7.0,0.29,3.6,4.5,7.0,9.9,11.2
2,10.50,0.64,6.9,0.30,3.4,4.4,6.9,9.8,11.2
2,10.75,0.64,6.7,0.31,3.2,4.1,6.7,9.7,11.0
2,11.00,0.64,6.4,0.32,3.0,3.9,6.4,9.4,10.7
2,11.25,0.64,6.0,0.33,2.7,3.6,6.0,8.9,10.2
2,11.50,0.64,5.6,0.34,2.4,3.2,5.6,8.4,9.6
2,11.75,0.64,5.1,0.36,2.1,2.9,5.1,7.7,8.9
2,12.00,0.64,4.6,0.37,1.8,2.6,4.6,7.1,8.2
2,12.25,0.64,4.1,0.38,1.6,2.2,4.1,6.4,7.4
2,12.50,0.64,3.6,0.39,1.3,1.9,3.6,5.7,6.6
2,12.75,0.64,3.2,0.40,1.1,1.6,3.2,5.0,5.8
2,13.00,0.64,2.7,0.42,0.9,1.4,2.7,4.4,5.1
2,13.25,0.64,2.3,0.43,0.8,1.1,2.3,3.8,4.4
2,13.50,0.64,2.0,0.44,0.6,1.0,2.0,3.3,3.9
2,13.75,0.64,1.7,0.45,0.5,0.8,1.7,2.9,3.4
2,14.00,0.64,1.5,0.46,0.4,0.7,1.5,2.5,3.0
2,14.25,0.64,1.4,0.47,0.4,0.6,1.4,2.3,2.7
