Sex,Ageyrs,L,M,S,P3,P10,P50,P90,P97
1,6.50,0.40,6.2,0.15,4.6,5.0,6.2,7.5,8.1
1,6.75,0.40,6.1,0.15,4.5,4.9,6.1,7.4,8.0
1,7.00,0.40,6.0,0.15,4.4,4.8,6.0,7.3,7.9
1,7.25,0.40,5.9,0.16,4.3,4.8,5.9,7.2,7.8
1,7.50,0.40,5.8,0.16,4.2,4.7,5.8,7.1,7.7
1,7.75,0.40,5.7,0.16,4.2,4.6,5.7,7.0,7.6
1,8.00,0.40,5.7,0.16,4.1,4.5,5.7,7.0,7.5
1,8.25,0.40,5.6,0.16,4.0,4.4,5.6,6.8,7.4
1,8.50,0.40,5.5,0.16,3.9,4.3,5.5,6.7,7.3
1,8.75,0.40,5.3,0.17,3.8,4.2,5.3,6.6,7.2
1,9.00,0.40,5.2,0.17,3.7,4.1,5.2,6.5,7.0
1,9.25,0.40,5.1,0.17,3.6,4.0,5.1,6.3,6.9
1,9.50,0.40,5.0,0.17,3.5,3.9,5.0,6.2,6.8
1,9.75,0.40,4.9,0.18,3.4,3.8,4.9,6.1,6.7
1,10.00,0.40,4.8,0.18,3.3,3.7,4.8,6.0,6.6
1,10.25,0.40,4.7,0.18,3.2,3.6,4.7,6.0,6.5
1,10.50,0.40,4.6,0.19,3.2,3.6,4.6,5.9,6.5
1,10.75,0.40,4.6,0.19,3.1,3.5,4.6,5.9,6.5
1,11.00,0.40,4.6,0.20,3.1,3.5,4.6,5.9,6.5
1,11.25,0.40,4.6,0.21,3.0,3.5,4.6,6.0,6.6
1,11.50,0.40,4.7,0.21,3.0,3.5,4.7,6.2,6.8
1,11.75,0.40,4.8,0.22,3.0,3.5,4.8,6.3,7.1
1,12.00,0.40,5.0,0.23,3.1,3.6,5.0,6.6,7.4
1,12.25,0.40,5.2,0.24,3.1,3.7,5.2,7.0,7.8
1,12.50,0.40,5.4,0.25,3.2,3.8,5.4,7.4,8.4
1,12.75,0.40,5.7,0.26,3.3,3.9,5.7,7.9,8.9
1,13.00,0.40,6.0,0.27,3.4,4.0,6.0,8.4,9.5
1,13.25,0.40,6.2,0.28,3.4,4.1,6.2,8.9,10.1
1,13.50,0.40,6.4,0.30,3.4,4.2,6.4,9.3,10.6
1,13.75,0.40,6.6,0.31,3.4,4.2,6.6,9.6,11.1
1,14.00,0.40,6.6,0.32,3.3,4.1,6.6,9.8,11.4
1,14.25,0.40,6.6,0.34,3.2,4.0,6.6,10.0,11.6
1,14.50,0.40,6.5,0.35,3.0,3.9,6.5,10.0,11.6
1,14.75,0.40,6.3,0.36,2.8,3.7,6.3,9.8,11.5
1,15.00,0.40,6.0,0.38,2.6,3.4,6.0,9.5,11.3
1,15.25,0.40,5.6,0.40,2.3,3.1,5.6,9.1,10.8
1,15.50,0.40,5.2,0.41,2.1,2.8,5.2,8.6,10.2
1,15.75,0.40,4.7,0.43,1.8,2.5,4.7,7.9,9.5
1,16.00,0.40,4.2,0.45,1.5,2.1,4.2,7.2,8.7
1,16.25,0.40,3.7,0.46,1.3,1.8,3.7,6.4,7.8
1,16.50,0.40,3.2,0.48,1.0,1.5,3.2,5.6,6.9
1,16.75,0.40,2.7,0.50,0.8,1.2,2.7,4.8,5.9
1,17.00,0.40,2.2,0.51,0.6,1.0,2.2,4.0,5.0
1,17.25,0.40,1.8,0.53,0.5,0.8,1.8,3.3,4.1
1,17.50,0.40,1.4,0.55,0.4,0.6,1.4,2.6,3.3
1,17.75,0.40,1.0,0.57,0.3,0.4,1.0,2.0,2.5
1,18.00,0.40,0.7,0.58,0.2,0.3,0.7,1.4,1.8
1,18.25,0.40,0.4,0.60,0.1,0.2,0.4,0.8,1.0
1,18.50,0.40,0.3,0.61,0.1,0.1,0.3,0.7,0.9
2,6.50,-0.57,6.2,0.10,5.2,5.5,6.2,7.1,7.6
2,6.75,-0.52,6.1,0.10,5.1,5.4,6.1,7.0,7.5
2,7.00,-0.46,6.0,0.10,5.0,5.3,6.0,6.9,7.4
2,7.25,-0.41,5.9,0.11,4.9,5.2,5.9,6.8,7.3
2,7.50,-0.35,5.8,0.11,4.8,5.1,5.8,6.7,7.2
2,7.75,-0.30,5.7,0.11,4.7,5.0,5.7,6.7,7.1
2,8.00,-0.25,5.7,0.11,4.6,4.9,5.7,6.6,7.1
2,8.25,-0.19,5.6,0.12,4.5,4.8,5.6,6.6,7.1
2,8.50,-0.14,5.6,0.12,4.5,4.8,5.6,6.6,7.1
2,8.75,-0.08,5.6,0.13,4.4,4.7,5.6,6.6,7.1
2,9.00,-0.03,5.5,0.14,4.3,4.6,5.5,6.7,7.2
2,9.25,0.02,5.5,0.15,4.2,4.5,5.5,6.7,7.3
2,9.50,0.07,5.5,0.16,4.1,4.5,5.5,6.8,7.3
2,9.75,0.13,5.5,0.17,4.0,4.4,5.5,6.8,7.5
2,10.00,0.18,5.5,0.18,3.9,4.3,5.5,6.9,7.6
2,10.25,0.23,5.5,0.19,3.8,4.3,5.5,7.0,7.7
2,10.50,0.28,5.5,0.20,3.7,4.2,5.5,7.1,7.9
2,10.75,0.33,5.6,0.21,3.7,4.2,5.6,7.3,8.1
2,11.00,0.38,5.7,0.22,3.6,4.2,5.7,7.5,8.3
2,11.25,0.43,5.8,0.23,3.6,4.2,5.8,7.7,8.6
2,11.50,0.48,5.9,0.24,3.6,4.2,5.9,8.0,8.9
2,11.75,0.52,6.0,0.25,3.5,4.2,6.0,8.2,9.2
2,12.00,0.56,6.1,0.27,3.4,4.1,6.1,8.4,9.5
2,12.25,0.60,6.1,0.28,3.2,4.0,6.1,8.5,9.6
2,12.50,0.63,6.0,0.29,3.1,3.8,6.0,8.6,9.7
2,12.75,0.66,5.9,0.31,2.8,3.6,5.9,8.5,9.7
2,13.00,0.68,5.7,0.33,2.5,3.4,5.7,8.3,9.5
2,13.25,0.69,5.4,0.35,2.2,3.1,5.4,8.0,9.2
2,13.50,0.70,5.0,0.37,1.9,2.7,5.0,7.6,8.8
2,13.75,0.69,4.6,0.39,1.7,2.4,4.6,7.2,8.3
2,14.00,0.68,4.2,0.41,1.4,2.1,4.2,6.7,7.8
2,14.25,0.66,3.7,0.44,1.1,1.8,3.7,6.1,7.2
2,14.50,0.62,3.3,0.46,0.9,1.5,3.3,5.6,6.6
2,14.75,0.58,2.9,0.49,0.8,1.3,2.9,5.0,6.0
2,15.00,0.53,2.5,0.52,0.6,1.1,2.5,4.5,5.4
2,15.25,0.48,2.1,0.54,0.5,0.9,2.1,3.9,4.8
2,15.50,0.42,1.8,0.57,0.4,0.7,1.8,3.4,4.3
2,15.75,0.35,1.5,0.60,0.4,0.6,1.5,3.0,3.8
2,16.00,0.29,1.2,0.62,0.3,0.5,1.2,2.6,3.4
