Sex,Ageyrs,L,M,S,P3,P10,P50,P90,P97
1,5.50,0.85,6.8,0.13,5.2,5.7,6.8,7.9,8.4
1,5.75,0.84,6.7,0.13,5.1,5.6,6.7,7.9,8.4
1,6.00,0.83,6.6,0.13,5.0,5.5,6.6,7.8,8.3
1,6.25,0.82,6.5,0.13,5.0,5.4,6.5,7.6,8.1
1,6.50,0.81,6.4,0.12,4.9,5.3,6.4,7.4,7.9
1,6.75,0.80,6.2,0.12,4.8,5.2,6.2,7.3,7.7
1,7.00,0.79,6.1,0.13,4.7,5.1,6.1,7.2,7.7
1,7.25,0.77,6.1,0.14,4.5,5.0,6.1,7.2,7.7
1,7.50,0.76,6.0,0.15,4.3,4.8,6.0,7.3,7.8
1,7.75,0.75,5.9,0.16,4.2,4.7,5.9,7.3,7.8
1,8.00,0.74,5.9,0.16,4.2,4.6,5.9,7.2,7.7
1,8.25,0.73,5.8,0.16,4.1,4.6,5.8,7.1,7.6
1,8.50,0.72,5.7,0.16,4.1,4.5,5.7,7.0,7.5
1,8.75,0.70,5.6,0.17,3.9,4.4,5.6,6.9,7.5
1,9.00,0.69,5.5,0.17,3.8,4.3,5.5,6.9,7.4
1,9.25,0.68,5.5,0.18,3.7,4.2,5.5,6.9,7.5
1,9.50,0.67,5.5,0.19,3.6,4.1,5.5,6.9,7.6
1,9.75,0.66,5.4,0.21,3.5,4.0,5.4,7.0,7.7
1,10.00,0.65,5.4,0.22,3.4,3.9,5.4,7.1,7.8
1,10.25,0.64,5.4,0.23,3.3,3.9,5.4,7.2,8.0
1,10.50,0.62,5.5,0.25,3.2,3.8,5.5,7.4,8.3
1,10.75,0.61,5.6,0.27,3.1,3.7,5.6,7.7,8.6
1,11.00,0.60,5.7,0.28,3.0,3.7,5.7,8.0,9.0
1,11.25,0.59,5.9,0.30,3.0,3.7,5.9,8.4,9.6
1,11.50,0.58,6.1,0.31,3.0,3.8,6.1,8.9,10.1
1,11.75,0.57,6.4,0.32,3.1,3.9,6.4,9.3,10.7
1,12.00,0.55,6.6,0.32,3.1,4.0,6.6,9.8,11.2
1,12.25,0.54,6.9,0.33,3.3,4.2,6.9,10.2,11.7
1,12.50,0.53,7.1,0.33,3.4,4.3,7.1,10.5,12.1
